a
aa
abcd
a̱
b
d
dz
e
ee
g
gw
gy
g̱
h
i
ii
k
k'
kw
ky
k'w
k'y
ḵ
ḵ'
l
'l
ł
m
'm
n
'n
o
oo
p
p'
s
t
t'
ts
ts'
u
uu
üü
w
'w
ẅ
'ẅ
x
y
'y
